# Candidate icon codepoints (Segoe Fluent Icons / MDL2)
# format: HEX;semantic-name
E721;search
E711;close
E710;add
E70F;edit
E74D;delete
E72B;back
E72C;refresh
E713;settings
E81D;location-pin
E80A;camera
E734;favorite-star
E774;globe
E700;navigation-arrow
E91B;photo
E8B9;photo-alt
E707;world-map
E81C;map
E5D8;directions
E946;info
E783;info-alt
E804;car
E7D9;train
E6DD;walk
E80F;bicycle
E73E;checkmark
E8CB;sort
E823;clock
E9D5;photo-add
E90F;picture
E8A5;map-pin-alt
E8C7;flag
E7C3;bookmark
E77B;favorite-heart
E8D1;route
E70E;home
E8E1;trip
E950;globe-alt
E8FB;photo-stack
E7B3;photo-stack-alt
